"Player	Team	Pos	Injury	Status	Est. Return"
"Shervyen Newton	NYM	SS	Shoulder	7-Day IL	Subscribers Only"
"Jacob Nix	SD	P	Elbow	10-Day IL	Subscribers Only"
"Bud Norris	FA	P	Forearm	Out	Subscribers Only"
"Darren O'Day	ATL	P	Forearm	10-Day IL	Subscribers Only"
"Trevor Oaks	KC	P	Hip	60-Day IL	Subscribers Only"
"Shohei Ohtani	LAA	DH	Elbow	10-Day IL	Subscribers Only"
"Matt Olson	OAK	1B	Hand	10-Day IL	Subscribers Only"
"Logan Ondrusek	WAS	P	Undisclosed	7-Day IL	Subscribers Only"
"Jhailyn Ortiz	PHI	OF	Hamstring	Out	Subscribers Only"
"Jose Osuna	PIT	1B	Neck	10-Day IL	Subscribers Only"
"Alexander Ovalles	TEX	OF	Hand	Out	Subscribers Only"
"Richard Palacios	CLE	2B	Shoulder	7-Day IL	Subscribers Only"
"Alexander Palma	NYY	OF	Lower Body	Day-To-Day	Subscribers Only"
"Eric Pardinho	TOR	P	Elbow	7-Day IL	Subscribers Only"
"Jarrett Parker	LAA	OF	Oblique	Day-To-Day	Subscribers Only"
"Dustin Pedroia	BOS	2B	Knee	10-Day IL	Subscribers Only"
"Salvador Perez	KC	C	Elbow	60-Day IL	Subscribers Only"
"Freicer Perez	NYY	P	Undisclosed	Day-To-Day	Subscribers Only"
"Franklin Perez	DET	P	Shoulder	7-Day IL	Subscribers Only"
"Jon Perrin	KC	P	Suspension	Suspension	Subscribers Only"
"David Phelps	TOR	P	Elbow	10-Day IL	Subscribers Only"
"Gregory Polanco	PIT	OF	Shoulder	10-Day IL	Subscribers Only"
"Dalton Pompey	TOR	OF	Concussion	60-Day IL	Subscribers Only"
"Cody Ponce	MIL	P	Undisclosed	7-Day IL	Subscribers Only"
"Max Povse	SEA	P	Shoulder	Day-To-Day	Subscribers Only"
"A.J. Puckett	CWS	P	Elbow	Out	Subscribers Only"
"Jose Pujols	PHI	OF	Achilles	Out	Subscribers Only"
"A.J. Puk	OAK	P	Elbow	Out	Subscribers Only"
"Zach Putnam	BOS	P	Hamstring	Out	Subscribers Only"
"Yoanis Quiala	HOU	P	Suspension	Suspension	Subscribers Only"
"Roman Quinn	PHI	OF	Oblique	10-Day IL	Subscribers Only"
"Cole Ragans	TEX	P	Elbow	Out	Subscribers Only"
"Jose Ramirez	FA	P	Shoulder	Out	Subscribers Only"
"JC Ramirez	LAA	P	Elbow	60-Day IL	Subscribers Only"
"AJ Ramos	FA	P	Shoulder	Out	Subscribers Only"
"Drew Rasmussen	MIL	P	Elbow	Out	Subscribers Only"
"Rangel Ravelo	STL	1B	Ribs	Day-To-Day	Subscribers Only"
"Colin Rea	CHC	P	Undisclosed	Out	Subscribers Only"
"Addison Reed	MIN	P	Thumb	10-Day IL	Subscribers Only"
"Clayton Richard	TOR	P	Knee	10-Day IL	Subscribers Only"
"Garrett Richards	SD	P	Elbow	60-Day IL	Subscribers Only"
"T.J. Rivera	FA	3B	Elbow	Out	Subscribers Only"
"Griffin Roberts	STL	P	Suspension	Suspension	Subscribers Only"
"Aderlin Rodriguez	SD	1B	Undisclosed	7-Day IL	Subscribers Only"
"David Rodriguez	TB	C	Undisclosed	7-Day IL	Subscribers Only"
"Ricardo Rodriguez	TEX	P	Shoulder	Out	Subscribers Only"
"Cameron Roegner	MIL	P	Undisclosed	Out	Subscribers Only"
"Josh Rogers	BAL	P	Back	Day-To-Day	Subscribers Only"
"Seth Romero	WAS	P	Elbow	7-Day IL	Subscribers Only"
"Chris Rusin	COL	P	Back	10-Day IL	Subscribers Only"
"Addison Russell	CHC	SS	Suspension	Suspension	Subscribers Only"
"Hyun-Jin Ryu	LAD	P	Groin	10-Day IL	Subscribers Only"
"CC Sabathia	NYY	P	Knee	10-Day IL	Subscribers Only"
"Danny Salazar	CLE	P	Shoulder	60-Day IL	Subscribers Only"
"Ali Sanchez	NYM	C	Undisclosed	Out	Subscribers Only"
"Nick Sandlin	CLE	P	Forearm	Out	Subscribers Only"
"Miguel Sano	MIN	3B	Heel	10-Day IL	Subscribers Only"
"Edgar Santana	PIT	P	Elbow	60-Day IL	Subscribers Only"
"Reid Schaller	WAS	P	Undisclosed	Out	Subscribers Only"
"Kyle Seager	SEA	3B	Hand	60-Day IL	Subscribers Only"
"Anthony Seigler	NYY	C	Quadriceps	Out	Subscribers Only"
"Antonio Senzatela	COL	P	Foot	10-Day IL	Subscribers Only"
"Nick Senzel	CIN	2B	Ankle	7-Day IL	Subscribers Only"
"Luis Severino	NYY	P	Shoulder	10-Day IL	Subscribers Only"
"Anderson Severino	NYY	P	Undisclosed	7-Day IL	Subscribers Only"
"Kevin Shackelford	FA	P	Elbow	Day-To-Day	Subscribers Only"
"Ryan Sherriff	TB	P	Elbow	7-Day IL	Subscribers Only"
"Yaisel Sierra	LAD	P	Shoulder	Out	Subscribers Only"
"Jon Singleton	FA	1B	Suspension	Suspension	Subscribers Only"
"Eric Skoglund	KC	P	Suspension	Suspension	Subscribers Only"
"Carson Smith	BOS	P	Shoulder	Out	Subscribers Only"
"Nate Smith	LAA	P	Shoulder	Day-To-Day	Subscribers Only"
"Drew Smith	NYM	P	Elbow	10-Day IL	Subscribers Only"
"Christopher Smith	FA	P	Elbow	Out	Subscribers Only"
"Joe Smith	HOU	P	Achilles	10-Day IL	Subscribers Only"
"Justin Smoak	TOR	1B	Neck	Day-To-Day	Subscribers Only"
"Jhonatan Solano	FA	C	Elbow	Out	Subscribers Only"
"Jairo Solis	HOU	P	Elbow	Out	Subscribers Only"
"Gregory Soto	DET	P	Suspension	Suspension	Subscribers Only"
"Steven Souza	ARI	OF	Knee	10-Day IL	Subscribers Only"
"Alex Speas	TEX	P	Elbow	Out	Subscribers Only"
"Giancarlo Stanton	NYY	OF	Biceps	10-Day IL	Subscribers Only"
"Troy Stokes Jr.	MIL	OF	Lat	7-Day IL	Subscribers Only"
"Drew Storen	KC	P	Elbow	Out	Subscribers Only"
"Hunter Strickland	SEA	P	Lat	60-Day IL	Subscribers Only"
"Drew Strotman	TB	P	Undisclosed	7-Day IL	Subscribers Only"
"Jose Suarez	LAA	P	Shoulder	7-Day IL	Subscribers Only"
"Brent Suter	MIL	P	Elbow	60-Day IL	Subscribers Only"
"Jameson Taillon	PIT	P	Head	Day-To-Day	Subscribers Only"
"Curtis Taylor	TB	P	Undisclosed	7-Day IL	Subscribers Only"
"Ryan Tepera	TOR	P	Elbow	10-Day IL	Subscribers Only"
"Andrew Toles	LAD	OF	Personal	Out	Subscribers Only"
"Quintin Torres-Costa	MIL	P	Elbow	60-Day IL	Subscribers Only"
"Devon Travis	TOR	2B	Knee	60-Day IL	Subscribers Only"
"Alex Troop	WAS	P	Undisclosed	7-Day IL	Subscribers Only"
"Nick Tropeano	LAA	P	Shoulder	10-Day IL	Subscribers Only"
"Mark Trumbo	BAL	DH	Knee	60-Day IL	Subscribers Only"
"Sam Tuivailala	SEA	P	Achilles	10-Day IL	Subscribers Only"
"Troy Tulowitzki	NYY	SS	Calf	10-Day IL	Subscribers Only"
"Nik Turley	PIT	P	Elbow	Day-To-Day	Subscribers Only"
"Trea Turner	WAS	SS	Finger	10-Day IL	Subscribers Only"
"Justin Upton	LAA	OF	Toe	10-Day IL	Subscribers Only"
"Engelb Vielma	BAL	SS	Knee	Day-To-Day	Subscribers Only"
"Edinson Volquez	TEX	P	Elbow	10-Day IL	Subscribers Only"
"Bobby Wahl	MIL	P	Knee	60-Day IL	Subscribers Only"
"Taijuan Walker	ARI	P	Elbow	60-Day IL	Subscribers Only"
"Taylor Walls	TB	SS	Quadriceps	Out	Subscribers Only"
"Zack Weiss	MIN	P	Oblique	7-Day IL	Subscribers Only"
"Joey Wendle	TB	2B	Hamstring	10-Day IL	Subscribers Only"
"Collin Wiles	FA	P	Elbow	Out	Subscribers Only"
"Justin Williams	STL	OF	Hand	10-Day IL	Subscribers Only"
"Alex Wood	CIN	P	Back	10-Day IL	Subscribers Only"
"Travis Wood	FA	P	Knee	Out	Subscribers Only"
"Blake Wood	FA	P	Elbow	Out	Subscribers Only"
"Steven Wright	BOS	P	Suspension	Out	Subscribers Only"
"Austin Wynns	BAL	C	Oblique	10-Day IL	Subscribers Only"
"Chris Young	FA	OF	Hip	Out	Subscribers Only"
"T.J. Zeuch	TOR	P	Lat	Out	Subscribers Only"
"Bradley Zimmer	CLE	OF	Shoulder	10-Day IL	Subscribers Only"
